taxon_id,scientific_name,common_name,iconic_taxon_name,species_guess,latitude,longitude,positional_accuracy,place_guess,observed_on,time_observed_at,time_zone,quality_grade,num_identification_agreements,num_identification_disagreements,captive_cultivated,coordinates_obscured,image_url,sound_url,description,tag_list
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.6796355856,-116.8521939218,15.0,"Rancho Jamul Ecological Reserve; San Diego County, California",2018-04-13,2018-04-14 02:01:00 UTC,Pacific Time (US & Canada),research,3,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/15378085/medium.jpg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.7600455688,-117.2248603339,195.0,"Mission Bay, San Diego, CA, USA",2018-01-13,2018-01-14 01:19:00 UTC,Hawaii,research,6,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/15653742/medium.jpeg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.7754039521,-117.2183489799,36.0,"Mission Bay, San Diego, CA, USA",2017-11-03,2017-11-03 18:21:00 UTC,Pacific Time (US & Canada),research,5,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/15757658/medium.jpg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.7756204509,-117.2185635567,61.0,"Mission Bay, San Diego, CA, USA",2017-10-31,2017-10-31 18:52:00 UTC,Pacific Time (US & Canada),research,4,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/15865216/medium.jpg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.639781721,-117.1102173162,5.0,"Sweetwater Marsh National Wildlife Refuge, Chula Vista, CA, US",2018-04-30,2018-04-30 19:53:56 UTC,Pacific Time (US & Canada),casual,2,0,True,False,https://static.inaturalist.org/photos/17053148/medium.jpg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.5688233163,-116.9634667039,8.0,"Otay Mesa, San Diego, CA, USA",2018-05-08,2018-05-08 18:40:00 UTC,Pacific Time (US & Canada),research,4,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/17657674/medium.jpg,,,"Birds, Birds of San Diego, Ireland"
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.5688210559,-116.9634673744,2.0,"Otay Mesa, San Diego, CA, USA",2018-05-08,2018-05-08 18:59:00 UTC,Pacific Time (US & Canada),research,4,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/17657682/medium.jpg,,,"Birds, Birds of San Diego"
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.6397795127,-117.1101963813,16.0,"Sweetwater Marsh National Wildlife Refuge, Chula Vista, CA, US",2018-05-14,2018-05-14 23:15:24 UTC,Pacific Time (US & Canada),casual,2,0,True,False,https://static.inaturalist.org/photos/17983876/medium.jpg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.7601854006,-117.2237511373,92.0,"Mission Bay, San Diego, CA, USA",2017-01-16,2017-01-16 23:40:00 UTC,Pacific Time (US & Canada),research,4,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/20128302/medium.jpg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.5441147497,-117.1147287634,31.0,"Tijuana River Valley, San Diego, CA, USA",2018-11-25,2018-11-25 17:47:00 UTC,Pacific Time (US & Canada),research,1,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/28526766/medium.jpg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.5476422499,-117.1080940783,729.0,"Tijuana River Valley, San Diego, CA, USA",2018-12-12,2018-12-12 18:11:00 UTC,Pacific Time (US & Canada),research,1,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/29129762/medium.jpg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,33.0385023136,-116.9424679888,572.0,"San Diego County, CA, USA",2018-12-30,2018-12-31 00:19:00 UTC,Pacific Time (US & Canada),research,4,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/29713241/medium.jpg,,"It was keeping a low profile and ducked down shortly after I spotted it.  These are heavily cropped, comically dreadful 400mm shots!  ",
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.77121,-117.211685,,"Mission Bay, San Diego, CA, USA",2019-01-02,2019-01-02 21:38:00 UTC,Pacific Time (US & Canada),research,3,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/29816377/medium.jpeg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.7713277778,-117.2116694444,,"Mission Bay, San Diego, CA, USA",2019-01-02,2019-01-02 22:35:00 UTC,Pacific Time (US & Canada),research,4,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/29821764/medium.jpg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.7598082566,-117.2265247517,125.0,"S Shores Park, San Diego, CA, US",2019-01-04,2019-01-04 23:09:13 UTC,Pacific Time (US & Canada),research,6,0,False,False,https://static.inaturalist.org/photos/30064428/medium.jpg,,,
206894,Athene cunicularia hypugaea,Western Burrowing Owl,Aves,Western Burrowing Owl,32.640045,-117.1140361667,6.0,"Sweetwater Marsh National Wildlife Refuge, Chula Vista, CA, US",2019-01-10,2019-01-10 21:28:16 UTC,Pacific Time (US & Canada),research,4,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/30104566/medium.jpg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.7608319797,-117.2195372124,56.0,"Mission Bay Park, San Diego, CA, US",2019-01-02,2019-01-02 20:14:31 UTC,Mountain Time (US & Canada),research,6,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/30637791/medium.jpg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,33.0396227542,-116.9377747926,61.0,"San Diego County, CA, USA",2019-01-27,2019-01-27 20:58:00 UTC,Pacific Time (US & Canada),research,4,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/30725318/medium.jpg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.5513991941,-117.0778760409,2524.0,"Tijuana River Valley, San Diego, CA, USA",2019-03-05,2019-03-05 19:22:00 UTC,Pacific Time (US & Canada),research,7,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/32408884/medium.jpg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.5921447117,-117.1000662891,39.0,"Egger Highlands, San Diego, CA, USA",2019-03-02,2019-03-02 16:27:00 UTC,Arizona,research,4,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/32761784/medium.jpeg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,33.2956295181,-116.3126974181,5.0,"San Diego County, US-CA, US",2019-03-16,2019-03-16 17:26:08 UTC,Pacific Time (US & Canada),research,2,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/33018895/medium.jpg,,Owl tracks. ,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,33.2960573305,-116.3128392399,5.0,"San Diego County, US-CA, US",2019-03-16,2019-03-16 17:57:07 UTC,Pacific Time (US & Canada),research,2,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/33018992/medium.jpg,,"Tracks
 ",
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,33.0503881783,-116.9354938408,31.0,"San Diego County, CA, USA",2014-02-16,2014-02-16 20:15:00 UTC,Pacific Time (US & Canada),research,4,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/33103781/medium.jpeg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.5531463623,-116.908454895,,"Calle 12 Nte. 11, Cd Industrial, 22444 Tijuana, B.C., Mexico",2019-03-26,2019-03-26 15:18:21 UTC,Pacific Time (US & Canada),research,4,0,False,False,https://static.inaturalist.org/photos/33513372/medium.jpg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,33.097446,-116.995723,,"San Diego Safari Park, San Pascal Valley Road",2019-04-06,2019-04-06 18:44:05 UTC,Pacific Time (US & Canada),casual,4,0,True,False,https://static.inaturalist.org/photos/34566035/medium.jpeg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.760328612,-117.2241082519,249.0,"Mission Bay, San Diego, CA, USA",2016-11-13,2016-11-13 19:17:00 UTC,Pacific Time (US & Canada),research,5,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/35410645/medium.jpeg,,,
